name,train_volumes,source
pancreatic arteries,482,table10_train
pancreatic duct,482,table10_train
pancreatic ductal adenocarcinoma lesion,482,table10_train
pancreatic veins,482,table10_train
paraopthalmic part of right internal carotid artery,1,table10_train
pharyngeal constrictor muscle,120,table10_train
pharynx,532,table10_train
pituitary gland,254,table10_train
pleura lesion,245,table10_train
pleural effusion,78,table10_train
portal splenic vein,1597,table10_train
portal vein,21,table10_train
portal vein and splenic vein,2947,table10_train
portal veins,191,table10_train
posterior auricular vein,1,table10_train
posterior communicating part of right internal carotid artery,1,table10_train
posterior hippocampus,260,table10_train
prostate,3003,table10_train
prostate and uterus,360,table10_train
prostate central gland,237,table10_train
prostate peripheral zone,269,table10_train
prostate transitional zone,32,table10_train
prostate tumor,188,table10_train
psma-avid tumor,597,table10_train
pulmonary arterial tree,15,table10_train
pulmonary artery,593,table10_train+table7_test
pulmonary artery tree,316,table10_train
pulmonary artery trunk,1713,table10_train
pulmonary embolism,35,table10_train
pulmonary vein,1349,table10_train
pulp,532,table10_train
rd left rib,4108,table10_train
rd right rib,4108,table10_train
rd ventricle,3644,table10_train
rectum,1281,table10_train+table7_test
renal artery,70,table10_train
renal vein,70,table10_train
resection cavity,1943,table10_train
rib cartilage,1761,table10_train
ribs,654,table10_train
right a1,1,table10_train
right a1 and a2 of anterior cerebral artery,50,table10_train
right a2,1,table10_train
right a3 of anterior cerebral artery,50,table10_train
right accumbens area,3644,table10_train
right acl ligament,78,table10_train
right adductor brevis,1,table10_train
right adductor brevis muscle,78,table10_train
right adductor longus,1,table10_train
right adductor longus muscle,78,table10_train
right adductor magnus,1,table10_train
right adductor magnus muscle,78,table10_train
right adductor minimus,1,table10_train
right adrenal gland,5423,table10_train+table7_test
right adrenal tumor,20,table10_train
right amygdala,3654,table10_train
right anterior cerebral artery,250,table10_train
right anterior choroidal artery,51,table10_train
right anterior eyeball,84,table10_train
right anterior inferior cerebellar artery,50,table10_train
right anterior internal frontal artery,1,table10_train
right anterior temporal artery branch,1,table10_train
right artery of central sulcus,1,table10_train
right artery of precentral gyrus,1,table10_train
right atrium,2386,table10_train+table7_test
right autochthon,4514,table10_train
right banks superior temporal sulcus,10,table10_train
right basal vein of rosenthal,25,table10_train
right biceps femoris long head muscle,78,table10_train
right biceps femoris short head muscle,78,table10_train
right brachiocephalic vein,1761,table10_train
right brain lateral ventricle,158,table10_train
right breast,1086,table10_train+table7_test
right calcaneous bone,78,table10_train
right calcarine branches,1,table10_train
right carotid artery,98,table10_train
right carotid terminus,1,table10_train
right caudal anterior cingulate,10,table10_train
right caudal middle frontal,10,table10_train
right caudate,3654,table10_train
right caudate nucleus,158,table10_train
right cerebellar hemisphere,10,table10_train
right cerebellum cortex,3644,table10_train
right cerebellum white matter,3644,table10_train
right cerebral cortex,3644,table10_train
right cerebral white matter,3654,table10_train
right cheek,533,table10_train
right clavicula,3974,table10_train
right cochlea,3539,table10_train+table7_test
right colic vein,1,table10_train
right common carotid artery,1761,table10_train
right common femoral artery,1,table10_train
right common femoral vein,1,table10_train
right common iliac artery,172,table10_train
right common iliac artery false lumen,120,table10_train
right common iliac vein,2,table10_train
right coronary artery,30,table10_train
right cuboid bone,78,table10_train
right cuneus,10,table10_train
right deep circumflex iliac artery,1,table10_train
right deep femoral artery,1,table10_train
right deep femoral vein,1,table10_train
right entorhinal,10,table10_train
right epigastric vein,1,table10_train
right eustachian tube bone,120,table10_train
right extensor digitorum longus muscle,78,table10_train
right extensor hallucis longus muscle,78,table10_train
right external carotid artery,25,table10_train
right external iliac artery,51,table10_train
right external iliac vein,1,table10_train
right external oblique,1,table10_train
right eye,3505,table10_train+table7_test
right eyeball,533,table10_train
right femoral artery,121,table10_train
right femoral head,604,table10_train
right femoral vein,1,table10_train
right femur,3974,table10_train
right femur bone,78,table10_train
right femur distal cartilage,78,table10_train
right femur head cartilage,78,table10_train
right fibula,1597,table10_train
right fibula bone,78,table10_train
right fingers,1597,table10_train
right flexor digitorum longus muscle,78,table10_train
right flexor hallucis longus muscle,78,table10_train
right frontal pole,10,table10_train
right fusiform gyrus,10,table10_train
right gastric artery,1,table10_train
right gastrocnemius lateral muscle,78,table10_train
right gastrocnemius medial muscle,78,table10_train
right gastroepiploic vein,1,table10_train
right gluteus maximus,4611,table10_train
right gluteus maximus muscle,78,table10_train
right gluteus medius,4611,table10_train
right gluteus medius muscle,78,table10_train
right gluteus minimus,4071,table10_train
right gluteus minimus muscle,78,table10_train
right gonadal vein,1,table10_train
right gracilis,1,table10_train
right gracilis muscle,78,table10_train
right great saphenous vein,1,table10_train
right hepatic artery,1,table10_train
right hip bone,5720,table10_train
right hippocampus,3932,table10_train
right hippocampus cornu ammonis 1,20,table10_train
right hippocampus cornu ammonis 2,20,table10_train
right hippocampus cornu ammonis 3,20,table10_train
right hippocampus cornu ammonis 4 and gyrus dentatus,20,table10_train
right hippocampus entorhinal cortex,20,table10_train
right hippocampus subiculum,20,table10_train
right hippocampus tail,20,table10_train
right humerus,3974,table10_train
right iliac artery,4514,table10_train
right iliac vena,4514,table10_train
right iliacus,1,table10_train
right ilicostalis lumborum,1,table10_train
right iliopsoas,4610,table10_train
right illiacus muscle,78,table10_train
right inferior alveolar canal,532,table10_train
right inferior epigastric artery,1,table10_train
right inferior gemellus,1,table10_train
right inferior gemellus muscle,78,table10_train
right inferior gluteal artery,1,table10_train
right inferior gluteal vein,1,table10_train
right inferior lateral ventricle,3644,table10_train
right inferior parietal,10,table10_train
right inferior rectal veins,1,table10_train
right inferior temporal,10,table10_train
right inferior vesical veins,1,table10_train
right inner ear,50,table10_train
right insula,10,table10_train
right intermediate cuneiform bone,78,table10_train
right intermediate internal frontal artery,1,table10_train
right internal auditory canal,120,table10_train
right internal carotid artery,833,table10_train
right internal iliac artery,51,table10_train
right internal iliac vein,1,table10_train
right internal jugular vein,533,table10_train
right internal oblique,1,table10_train
right internal pudendal artery and vein,1,table10_train
right ischiocavernosus,1,table10_train
right isthmus cingulate,10,table10_train
right kidney,5603,table10_train+table7_test
right kidney cyst,1228,table10_train
right lacrimal gland,3419,table10_train+table7_test
right lateral circumflex artery,1,table10_train
right lateral cuneiform bone,78,table10_train
right lateral frontobasal artery,1,table10_train
